28 0.987285    0.987285           2 
         33 0.980208    0.980208           2 
         82 0.682886    0.682886           4 
         57 0.917275    0.917275           2 
         45 0.948845    0.948845           2 
         57 0.952926    0.950103           2 
         30 0.96767     0.96767           2 
         52 0.895638    0.895638           2 
         32 0.982534    0.982534           2 
         23 0.986428    0.986428           2 
         60 0.888738    0.879263           2 
         47 0.961181    0.950965           2 
         56 0.923528    0.923528           2 
         41 0.963468    0.963468           2 
         28 0.98506     0.98506           2 
         35 0.969599    0.969599           2 
         40 0.979447    0.979447           2 
         46 0.963769    0.963769           2 
         59 0.868917    0.866095           2 
         88 0.755985    0.757512           2 
         33 0.989851    0.989851           2 
         57 0.96011     0.96144           2 
         29 0.962813    0.962813           2 
         26 0.982379    0.982379           2 
         35 0.966667    0.966667           2 
         32 0.976633    0.976633           2 
         53 0.848909    0.848909           2 
         49 0.811305    0.811314           3 
         49 0.945973    0.945973           2 
         52 0.969682    0.969682           2 
         40 0.983624    0.983624           2 
         37 0.937974    0.941257           3 
         39 0.973529    0.973529           2 
         50 0.868209    0.868209           2 
         51 0.932936    0.932936           2 
         43 0.960387    0.960387           2 
         56 0.781804    0.781804           3 
         39 0.956983    0.956983           2 
         61 0.743398    0.743398           3 
         20 0.946504    0.946504           2 
         52 0.902364    0.899061           2 
         65 0.925391    0.925736           2 
         40 0.946496    0.946496           2 
         39 0.968472    0.962245           2 
         45 0.957237    0.957237           2 
         51 0.90677     0.90677           2 
         40 0.976093    0.976093           2 
         33 0.912099    0.912099           2 
         55 0.951297    0.951773           2 
         46 0.937222    0.937222           2 
         32 0.956664    0.956664           2 
         39 0.975313    0.975313           2 
         23 0.981543    0.982085           2 
         51 0.934228    0.934228           2 
         42 0.94424     0.94424           2 
         45 0.950309    0.950309           2 
         26 0.977637    0.977637           2 
         67 0.932388    0.932388           2 
         39 0.949565    0.949565           2 
         45 0.916005    0.916005           2 
         64 0.920488    0.916002           2 
         74 0.915687    0.915687           2 
         39 0.929371    0.929371           2 
         25 0.981386    0.981386           2 
         64 0.923382    0.923382           2 
         30 0.966607    0.966607           2 
         49 0.942501    0.938594           2 
         40 0.88328     0.88328           2 
         45 0.931215    0.931215           2 
         55 0.856376    0.856376           2 
         43 0.880068    0.880068           2 
         80 0.656153    0.656198           4 
         38 0.967013    0.967013           2 
         55 0.935596    0.938368           2 
         66 0.919453    0.915987           2 
         31 0.975444    0.975444           2 
         44 0.948388    0.944606           2 
         42 0.969136    0.965913           2 
         31 0.984506    0.984506           2 
         50 0.964387    0.964387           2 
         46 0.921549    0.921549           2 
         25 0.981899    0.981603           2 
         39 0.976127    0.977028           2 
         33 0.978241    0.978241           2 
         53 0.97081    0.958118           2 
         39 0.97636     0.97636           2 
         80 0.878625    0.878629           3 
         38 0.955619    0.955619           2 
         44 0.964611    0.965594           2 
         33 0.991336    0.991336           2 
         24 0.974115    0.974115           2 
         37 0.953984    0.948469           2 
         60 0.911953    0.911953           2 
         28 0.988151    0.988151           2 
         35 0.977046    0.974232           2 
         41 0.926635    0.926635           2 
         46 0.951152    0.951152           2 
         55 0.893526    0.893589           3 
         37 0.942905    0.943048           2 
         25 0.977872    0.977872           2 
         60 0.963819    0.963819           2 
         30 0.971585    0.971585           2 
         29 0.986893    0.986893           2 
         48 0.907575     0.91106           2 
         51 0.974602    0.974602           2 
         43 0.905726    0.905726           2 
         61 0.928855    0.923012           2 
         41 0.966849    0.967258           2 
         45 0.837337    0.838738           5 
         37 0.95033     0.95033           2 
         30 0.974852    0.974852           2 
         30 0.970671    0.970671           2 
         60 0.818204    0.818204           3 
         73 0.780798    0.780114           3 
         57 0.827335    0.827335           3 
         38 0.98367     0.98367           2 
         35 0.978666    0.978183           2 
         43 0.818721    0.818782           3 
         57 0.847448    0.847448           2 
         46 0.977478    0.977478           2 
         55 0.669457    0.672835           3 
         24 0.95736     0.95736           2 
         43 0.96904     0.96904           2 
         41 0.966141    0.966141           2 
         43 0.97028    0.971235           2 
         35 0.963351    0.963351           2 
         41 0.97524     0.97524           2 
         52 0.731816    0.731816           4 
         83 0.87157    0.846382           3 
         45 0.973764    0.973683           2 
         61 0.949157    0.949157           2 
         38 0.956501    0.956501           2 
         34 0.944423    0.944423           2 
         59 0.749932    0.749932           2 
         55 0.917918    0.918504           2 
         31 0.950079    0.950079           3 
         43 0.948598    0.948598           2 
         35 0.973545    0.973545           2 
         64 0.795936    0.795936           2 
         43 0.732418    0.732418           2 
         36 0.979027    0.979027           2 
         26 0.981283    0.981283           2 
         35 0.970286    0.970286           2 
         40 0.95219    0.943311           3 
         37 0.887089    0.887089           2 
         28 0.950523    0.950523           2 
         38 0.969782    0.969776           2 
         23 0.987777    0.987777           2 
         49 0.961008    0.961008           2 
         38 0.982946    0.982946           2 
         32 0.968944    0.968944           2 
         36 0.960182    0.960182           3 
         34 0.950408    0.950408           2 
         68 0.910354    0.910354           2 
         54 0.884972    0.871462           2 
         32 0.979629    0.979629           2 
         41 0.972862    0.972862           2 
         49 0.951302    0.946504           2 
         24 0.973051    0.973051           2 
         58 0.914724    0.914724           2 
         83 0.780023    0.780161           2 
         33 0.936276    0.936276           2 
         56 0.874986    0.874986           2 
         24 0.970688    0.970688           2 
         46 0.935343    0.935343           2 
         45 0.960663    0.960663           2 
         30 0.966391    0.966391           2 
         40 0.977431    0.977431           2 
         28 0.976347    0.976347           2 
         50 0.950954    0.950954           2 
         38 0.944332    0.944332           2 
         71 0.898476    0.898476           2 
         51 0.956112    0.954064           2 
         56 0.945746    0.945746           2 
         50 0.832356    0.832356           2 
         38 0.939986    0.939986           2 
         54 0.907851    0.907851           2 
         48 0.964746    0.964746           2 
         36 0.96332     0.96332           2 
         30 0.987936    0.983901           2 
         30 0.985764    0.987084           2 
         31 0.974811    0.974811           2 
         41 0.974688    0.974688           2 
         18 0.992929    0.992929           2 
         39 0.973455    0.973455           2 
         34 0.93414    0.931128           2 
         34 0.954247    0.954247           2 
         52 0.925424     0.92767           2 
         29 0.982008    0.981806           2 
         51 0.939116    0.939165           2 
         64 0.95391     0.95391           2 
         50 0.928973    0.926849           2 
         30 0.878403    0.878403           2 
         38 0.941728    0.941728           2 
         51 0.972237    0.972237           2 
         33 0.888187    0.888187           2 
         42 0.969794    0.969794           2 
         44 0.930212    0.930212           2 
         36 0.96527     0.95313           2 
         36 0.961311     0.95884           2 
         58 0.928135    0.910917           3 
         45 0.886164    0.886164           2 
         48 0.965396    0.965396           2 
         27 0.978265    0.978265           2 
         58 0.935351    0.924864           2 
         40 0.969388    0.971463           2 
         47 0.87658     0.87658           2 
         37 0.936211    0.936211           2 
         44 0.924528    0.924528           2 
         18 0.985848    0.985848           2 
         36 0.975381    0.975381           2 
         52 0.842072    0.842072           2 
         31 0.987083    0.987083           2 
         54 0.930378    0.929683           2 
         47 0.905663    0.905663           3 
         37 0.973149    0.973149           2 
         39 0.989054    0.989054           2 
         45 0.940647    0.940647           2 
         28 0.975479    0.975479           2 
