36 0.979027    0.979027           1    0.979016 
26 0.981283    0.981283           1    0.981277 
35 0.970286    0.970286           1    0.970271 
40 0.95219    0.943311           2    0.950523 
37 0.887089    0.887089           1    0.886893 
28 0.950523    0.950523           1    0.950502 
38 0.969782    0.969776           1    0.969755 
23 0.987777    0.987777           1    0.987762 
49 0.961008    0.961008           1    0.960993 
38 0.982946    0.982946           1    0.982945 
32 0.968944    0.968944           1    0.968911 
36 0.960182    0.960182           2    0.960016 
34 0.950408    0.950408           1    0.949851 
68 0.910354    0.910354           1    0.910259 
54 0.884972    0.871462           1     0.88412 
32 0.979629    0.979629           1    0.979628 
41 0.972862    0.972862           1    0.972859 
49 0.951302    0.946504           1    0.951282 
24 0.973051    0.973051           1    0.972993 
58 0.914724    0.914724           1    0.914528 
83 0.780023    0.780161           1    0.779693 
33 0.936276    0.936276           1    0.936249 
56 0.874986    0.874986           1    0.873773 
24 0.970688    0.970688           1    0.970645 
46 0.935343    0.935343           1    0.935056 
45 0.960663    0.960663           1    0.960579 
30 0.966391    0.966391           1     0.96622 
40 0.977431    0.977431           1    0.977422 
28 0.976347    0.976347           1      0.9763 
50 0.950954    0.950954           1     0.95093 
38 0.944332    0.944332           1    0.944328 
71 0.898476    0.898476           1    0.898405 
51 0.956112    0.954064           1    0.956004 
56 0.945746    0.945746           1    0.945731 
50 0.832356    0.832356           1    0.829803 
38 0.939986    0.939986           1    0.939844 
54 0.907851    0.907851           1    0.907219 
48 0.964746    0.964746           1    0.964742 
36 0.96332     0.96332           1    0.963274 
30 0.987936    0.983901           1    0.987806 
30 0.985764    0.987084           1    0.985611 
31 0.974811    0.974811           1    0.974779 
41 0.974688    0.974688           1    0.974666 
18 0.992929    0.992929           1    0.992928 
39 0.973455    0.973455           1    0.973452 
34 0.93414    0.931128           1    0.934096 
34 0.954247    0.954247           1      0.9542 
52 0.925424     0.92767           1    0.925264 
29 0.982008    0.981806           1    0.981958 
51 0.939116    0.939165           1    0.938917 
64 0.95391     0.95391           1    0.953854 
50 0.928973    0.926849           1    0.928972 
30 0.878403    0.878403           1    0.875643 
