0.0495198   -0.327372   -0.933357     1.00013 
   0.288729  -0.0761219    0.286407    0.436655 
   0.277161    0.780955     1.51994     1.73678 
   -2.55815    -3.40944    -9.70281     10.5987 
   -7.91847    -10.7232    -26.8846     30.0082 
  -0.695634    0.932021    0.735625     1.38318 
  0.0755143  -0.0176619   0.0542783    0.168642 
   0.464856    0.476125     1.17746     1.35966 
    2.50545     1.99118     7.19289     7.92843 
   0.570881    0.674671     1.84295     2.04867 
   0.518964    0.750199     2.38686     2.55905 
 -0.0277998   -0.376847   -0.617227    0.737045 
  -0.220968   -0.067267    -1.08178     1.11493 
  0.0177818    0.661224   0.0207405     1.14818 
 -0.0129264    0.257711   0.0603289    0.299502 
  -0.619436     0.58511    0.260064     1.29479 
  -0.375284   0.0213332    0.120404    0.418652 
   0.352654    0.437359     1.65711     1.98545 
  0.0634652    0.210255    0.338348    0.426842 
   0.747897    0.722757     2.06172      2.3092 
   0.616082     0.43652     1.51941     1.69668 
   -0.10471    0.223297    0.213669    0.354908 
    0.29117    0.407818    0.112055    0.532101 
   0.766328    0.836625     2.01274      2.3147 
    2.69751     2.33363     7.41039     8.22531 
   0.939434    0.985286     4.05368     4.27845 
    1.33572     1.32197     4.25668     4.65516 
 -0.0466887  -0.0123351   -0.107977    0.118284 
0.000932223  -0.0357501   0.0339964   0.0493427 
